concept_id,label,concept_class
1234881,lidocaine / penicillin G Injectable Suspension [Tardocillin],BrandedDrugForm
1234882,lidocaine / penicillin G Injectable Suspension [Pendysin],BrandedDrugForm
1234883,lidocaine 9 MG/ML / penicillin G 300000 UNT/ML [Tardocillin],BrandedDrugComp
1234884,lidocaine 9 MG/ML / penicillin G 300000 UNT/ML Injectable Suspension,ClinicalDrug
1234885,lidocaine 9 MG/ML / penicillin G 300000 UNT/ML Injectable Suspension [Tardocillin],BrandedDrug
1234886,lidocaine 25 MG / penicillin G 1200000 UNT [Pendysin],BrandedDrugComp
1234887,lidocaine 25 MG / penicillin G 1200000 UNT Injectable Suspension,ClinicalDrug
1234888,lidocaine 25 MG / penicillin G 1200000 UNT Injectable Suspension [Pendysin],BrandedDrug
1235610,penicillin G 50000 UNT/ML Injectable Solution,ClinicalDrug
1235611,penicillin G 120000 UNT/ML Injectable Solution,ClinicalDrug
1235612,penicillin G 72000 UNT/ML,ClinicalDrugComp
1235613,penicillin G 72000 UNT/ML Injectable Solution,ClinicalDrug
1235614,penicillin G 75000 UNT/ML,ClinicalDrugComp
1235615,penicillin G 75000 UNT/ML Injectable Solution,ClinicalDrug
1236160,4 ML lidocaine 9 MG/ML / penicillin G 300000 UNT/ML Injectable Suspension,QuantClinicalDrug
1236161,4 ML lidocaine 9 MG/ML / penicillin G 300000 UNT/ML Injectable Suspension [Tardocillin],QuantBrandedDrug
1236280,100 ML penicillin G 120000 UNT/ML Injectable Solution,QuantClinicalDrug
1236295,120 ML penicillin G 100000 UNT/ML Injectable Solution,QuantClinicalDrug
1236301,240 ML penicillin G 75000 UNT/ML Injectable Solution,QuantClinicalDrug
1236361,250 ML penicillin G 50000 UNT/ML Injectable Solution,QuantClinicalDrug
1236362,250 ML penicillin G 72000 UNT/ML Injectable Solution,QuantClinicalDrug
1718414,penicillin G benzathine 150000 UNT/ML / penicillin G procaine 150000 UNT/ML [BenzaPen],BrandedDrugComp
1718415,penicillin G Injectable Suspension [BenzaPen],BrandedDrugForm
1718416,BenzaPen Injectable Product,BrandedDoseGroup
1718417,penicillin G benzathine 150000 UNT/ML / penicillin G procaine 150000 UNT/ML Injectable Suspension [BenzaPen],BrandedDrug
1728420,penicillin G 40000 UNT/ML Oral Solution,ClinicalDrug
1728421,penicillin G 50 MG/ML Oral Solution,ClinicalDrug
1728442,penicillin G 600000 UNT Injectable Suspension,ClinicalDrug
1728446,clemizolpenicillin 300000 UNT / penicillin G 100000 UNT Injectable Suspension,ClinicalDrug
1728447,clemizolpenicillin 800000 UNT / penicillin G 200000 UNT Injectable Suspension,ClinicalDrug
1728449,penicillin G 100000 UNT Oral Tablet,ClinicalDrug
1728451,penicillin G 1 UNT/MG Topical Ointment,ClinicalDrug
1728472,penicillin G 20000 UNT/ML Injectable Solution,ClinicalDrug
1728474,penicillin G 400000 UNT Oral Tablet,ClinicalDrug
1728475,penicillin G 500000 UNT Oral Tablet,ClinicalDrug
1728477,penicillin G 250000 UNT,ClinicalDrugComp
1728478,penicillin G 500000 UNT,ClinicalDrugComp
1728506,penicillin G 600000 UNT,ClinicalDrugComp
1728507,penicillin G 100000 UNT/ML,ClinicalDrugComp
1728509,penicillin G 1 UNT/MG,ClinicalDrugComp
1728543,penicillin G potassium 60000 UNT/ML,ClinicalDrugComp
1728544,penicillin G benzathine 300000 UNT/ML,ClinicalDrugComp
1728545,penicillin G procaine 300000 UNT/ML,ClinicalDrugComp
1728546,penicillin G 10000 UNT/ML,ClinicalDrugComp
1728547,penicillin G 10000 UNT/ML Injectable Solution,ClinicalDrug
1728548,penicillin G 100000 UNT/ML Injectable Solution,ClinicalDrug
1728549,penicillin G benzathine 150000 UNT/ML,ClinicalDrugComp
1728550,penicillin G benzathine 300000 UNT/ML / penicillin G procaine 300000 UNT/ML Injectable Suspension,ClinicalDrug
1728551,penicillin G procaine 150000 UNT/ML,ClinicalDrugComp
1728572,penicillin G benzathine 150000 UNT/ML / penicillin G procaine 150000 UNT/ML Injectable Suspension,ClinicalDrug
1728573,2 ML penicillin G benzathine 300000 UNT/ML / penicillin G procaine 300000 UNT/ML Prefilled Syringe,QuantClinicalDrug
1728574,2 ML penicillin G benzathine 300000 UNT/ML / penicillin G procaine 300000 UNT/ML Prefilled Syringe [Bicillin],QuantBrandedDrug
1728575,penicillin G benzathine 600000 UNT/ML,ClinicalDrugComp
1728576,penicillin G procaine 600000 UNT/ML,ClinicalDrugComp
1728577,penicillin G benzathine 900000 UNT/ML,ClinicalDrugComp
1728579,penicillin G benzathine 450000 UNT/ML,ClinicalDrugComp
1728580,1 ML penicillin G benzathine 300000 UNT/ML / penicillin G procaine 300000 UNT/ML Prefilled Syringe,QuantClinicalDrug
1728602,penicillin G benzathine 150000 UNT/ML / penicillin G procaine 150000 UNT/ML Injectable Suspension [Bicillin],BrandedDrug
