concept_id,label,concept_class
2022584,3000 ML sodium chloride 9 MG/ML Injectable Solution [JW NS] by JW,MarketedProduct
2022585,3000 ML sodium chloride 9 MG/ML Injectable Solution by Daihan,MarketedProduct
2022588,3000 ML sodium chloride 9 MG/ML Injectable Solution [CJ NORMAL SALINE] by CJ,MarketedProduct
2022590,3000 ML sodium chloride 9 MG/ML Injectable Solution [JW NORMAL SALINE] by JW,MarketedProduct
2022606,1000 ML sodium chloride 9 MG/ML Injectable Solution by Daihan,MarketedProduct
2022644,1000 ML sodium chloride 9 MG/ML Injectable Solution [JW NORMAL SALINE] by JW,MarketedProduct
2022803,1000 ML sodium chloride 9 MG/ML Injectable Solution [JW NS] by JW,MarketedProduct
2022832,1000 ML sodium chloride 9 MG/ML Injectable Solution [CJ NORMAL SALINE] by CJ,MarketedProduct
2024387,500 ML sodium chloride 9 MG/ML Injectable Solution [JW NORMAL SALINE] by JW,MarketedProduct
2024437,500 ML sodium chloride 9 MG/ML Injectable Solution [JW NS] by JW,MarketedProduct
2024438,500 ML sodium chloride 9 MG/ML Injectable Solution by Daihan,MarketedProduct
2024440,500 ML sodium chloride 9 MG/ML Injectable Solution [CJ NORMAL SALINE] by CJ,MarketedProduct
2025002,250 ML sodium chloride 9 MG/ML Injectable Solution [JW NS] by JW,MarketedProduct
2025003,250 ML sodium chloride 9 MG/ML Injectable Solution by Daihan,MarketedProduct
2025005,250 ML sodium chloride 9 MG/ML Injectable Solution [CJ NORMAL SALINE] by CJ,MarketedProduct
2025334,200 ML sodium chloride 9 MG/ML Injectable Solution by Daihan,MarketedProduct
2025418,150 ML sodium chloride 9 MG/ML Injectable Solution by Daihan,MarketedProduct
2025420,150 ML sodium chloride 9 MG/ML Injectable Solution [JW NORMAL SALINE] by JW,MarketedProduct
2025673,100 ML sodium chloride 9 MG/ML Injectable Solution [JW NS] by JW,MarketedProduct
2025674,100 ML sodium chloride 9 MG/ML Injectable Solution by Daihan,MarketedProduct
2025675,100 ML sodium chloride 9 MG/ML Injectable Solution by UK Chemipharm,MarketedProduct
2025677,100 ML sodium chloride 9 MG/ML Injectable Solution [CJ NORMAL SALINE] by CJ,MarketedProduct
2025679,100 ML sodium chloride 9 MG/ML Injectable Solution [JW NORMAL SALINE] by JW,MarketedProduct
2026194,50 ML sodium chloride 9 MG/ML Injectable Solution [JW NS] by JW,MarketedProduct
2026195,50 ML sodium chloride 9 MG/ML Injectable Solution by Daihan,MarketedProduct
2026196,50 ML sodium chloride 9 MG/ML Injectable Solution by UK Chemipharm,MarketedProduct
2026198,50 ML sodium chloride 9 MG/ML Injectable Solution [CJ NORMAL SALINE] by CJ,MarketedProduct
2026200,50 ML sodium chloride 9 MG/ML Injectable Solution [JW NORMAL SALINE] by JW,MarketedProduct
2026419,40 ML sodium chloride 9 MG/ML Injectable Solution [HUONS NORMAL SALINE] by Huons,MarketedProduct
2026442,30 ML sodium chloride 9 MG/ML Injectable Solution by Daihan,MarketedProduct
2026657,20 ML sodium chloride 9 MG/ML Injectable Solution by Daihan,MarketedProduct
2026658,20 ML sodium chloride 9 MG/ML Injectable Solution by Jeil,MarketedProduct
2026660,20 ML sodium chloride 9 MG/ML Injectable Solution [HUONS NORMAL SALINE] by Huons,MarketedProduct
2026662,20 ML sodium chloride 9 MG/ML Injectable Solution [JW NORMAL SALINE] by JW,MarketedProduct
21025086,Sodium Chloride 9 MG/ML Injectable Solution [Steriflex] Box of 15,BrandedDrugBox
21029512,50 ML Sodium Chloride 9 MG/ML Injectable Solution [Intraven] by Terumo BCT,MarketedProduct
21030186,250 ML Sodium Chloride 9 MG/ML Injectable Solution [Intraven] Box of 1 by Terumo BCT,MarketedProduct
21030288,500 ML Sodium Chloride 9 MG/ML Injectable Solution Box of 12,QuantClinicalBox
21030289,500 ML Sodium Chloride 9 MG/ML Injectable Solution Box of 18,QuantClinicalBox
21039378,50 ML Sodium Chloride 9 MG/ML Injectable Solution Box of 1,QuantClinicalBox
21039892,150 ML Sodium Chloride 9 MG/ML Injectable Solution Box of 30 by Baxter,MarketedProduct
21040130,500 ML Sodium Chloride 9 MG/ML Injectable Solution [Intraven] by Terumo BCT,MarketedProduct
21049573,100 ML Sodium Chloride 9 MG/ML Injectable Solution Box of 1 by A A H,MarketedProduct
21049574,100 ML Sodium Chloride 9 MG/ML Injectable Solution Box of 30,QuantClinicalBox
21049685,150 ML Sodium Chloride 9 MG/ML Injectable Solution Box of 30,QuantClinicalBox
21049903,500 ML Sodium Chloride 9 MG/ML Injectable Solution Box of 15,QuantClinicalBox
21049904,500 ML Sodium Chloride 9 MG/ML Injectable Solution [Steriflex] by Fresenius,MarketedProduct
