concept_id,label,concept_class
1201537,{4 (0.4 ML adalimumab-aaty 100 MG/ML Auto-Injector) } Pack,ClinicalPack
1201538,{4 (0.4 ML adalimumab-aaty 100 MG/ML Auto-Injector [Yuflyma]) } Pack [Yuflyma Auto-Injector 40 MG/0.4 ML Starter Pack - Plaque Psoriasis],BrandedPack
1201539,{6 (0.4 ML adalimumab-aaty 100 MG/ML Auto-Injector) } Pack,ClinicalPack
1201540,"{6 (0.4 ML adalimumab-aaty 100 MG/ML Auto-Injector [Yuflyma]) } Pack [Yuflyma Auto-Injector 40 MG/0.4 ML Starter Package for Crohn's Disease, Pediatric Crohn's Disease, Ulcerative Colitis or Hidradenitis Suppurativa]",BrandedPack
1201612,0.4 ML adalimumab-aaty 100 MG/ML Auto-Injector,QuantClinicalDrug
1201613,0.4 ML adalimumab-aaty 100 MG/ML Auto-Injector [Yuflyma],QuantBrandedDrug
1201614,0.4 ML adalimumab-aaty 100 MG/ML Prefilled Syringe,QuantClinicalDrug
1201615,0.4 ML adalimumab-aaty 100 MG/ML Prefilled Syringe [Yuflyma],QuantBrandedDrug
1302291,{2 (5.5 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) / 8 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 13.6 - 14.0 kg],BrandedPack
1302292,{1 (5.5 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) / 9 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 14.1 - 14.5 kg],BrandedPack
1302293,{10 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 14.6 - 15.0 kg],BrandedPack
1302294,{2 (5.5 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) / 9 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 15.1 - 15.5 kg],BrandedPack
1302295,{1 (5.5 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) / 10 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 15.6 - 16.0 kg],BrandedPack
1302296,{11 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 16.1 - 16.5 kg],BrandedPack
1302297,{2 (5.5 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) / 10 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 16.6 - 17.0 kg],BrandedPack
1302298,{1 (5.5 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) / 11 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 17.1 - 17.5 kg],BrandedPack
1302299,{12 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 17.6 - 18.0 kg],BrandedPack
1302300,{2 (5.5 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) / 11 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 18.1 - 18.5 kg],BrandedPack
1302301,{1 (5.5 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) / 12 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 18.6 - 19.0 kg],BrandedPack
1302302,{13 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 19.1 - 19.5 kg],BrandedPack
1302303,{2 (5.5 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) / 12 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 19.6 - 20.0 kg],BrandedPack
1302304,{1 (5.5 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) / 13 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 20.1 - 20.5 kg],BrandedPack
1302305,{14 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 20.6 - 21.0 kg],BrandedPack
1351622,leuprolide acetate 5 MG/ML Injectable Solution,ClinicalDrug
1396756,{2 (5.5 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) / 1 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 3.1 - 3.5 kg],BrandedPack
1396758,{1 (5.5 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) / 2 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 3.6 - 4.0 kg],BrandedPack
1396760,{3 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 4.1 - 4.5 kg],BrandedPack
1396762,{2 (5.5 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) / 2 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 4.6 - 5.0 kg],BrandedPack
1396764,{2 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 2.6 - 3.0 kg],BrandedPack
1396766,{9 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 13.1 - 13.5 kg],BrandedPack
1396768,{1 (5.5 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) / 6 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 9.6 - 10.0 kg],BrandedPack
1396770,{7 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 10.1 - 10.5 kg],BrandedPack
1396772,{2 (5.5 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) / 6 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 10.6 - 11.0 kg],BrandedPack
1396774,{1 (5.5 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) / 7 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 11.1 - 11.5 kg],BrandedPack
1396776,{8 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 11.6 - 12.0 kg],BrandedPack
1396778,{5 (8.3 ML onasemnogene abeparvovec-xioi 20000000000000 VECTOR-GENOMES/ML Injection [Zolgensma]) } Pack [Zolgensma Kit 7.1 - 7.5 kg],BrandedPack
