concept_id,label,concept_class
1000560,ondansetron,Ingredient
1000577,ondansetron 0.8 MG/ML Oral Solution [Zofran],BrandedDrug
1000579,ondansetron 8 MG/ML Injectable Solution,ClinicalDrug
1000580,Ondansetron 4 MG Disintegrating Tablet [Zofran ODT],BrandedDrug
1000581,Ondansetron 8 MG Disintegrating Tablet [Zofran ODT],BrandedDrug
1000599,ondansetron 2 MG/ML,ClinicalDrugComp
1000600,ondansetron 0.64 MG/ML,ClinicalDrugComp
1000612,ondansetron 8 MG,ClinicalDrugComp
1000615,ondansetron 8 MG/ML,ClinicalDrugComp
1000616,ondansetron 16 MG,ClinicalDrugComp
1000617,ondansetron 30 MG,ClinicalDrugComp
1000618,ondansetron 30 MG Oral Tablet,ClinicalDrug
1000619,ondansetron 16 MG Oral Tablet,ClinicalDrug
1000632,clotrimazole,Ingredient
1000635,clotrimazole 10 MG/ML Topical Lotion,ClinicalDrug
1000636,clotrimazole 500 MG Vaginal Insert,ClinicalDrug
1000640,betamethasone 0.5 MG/ML / clotrimazole 10 MG/ML Topical Cream [Lotrisone],BrandedDrug
1000641,clotrimazole 10 MG/ML / dexamethasone 0.4 MG/ML Topical Cream,ClinicalDrug
1000652,clotrimazole 10 MG/ML Powder Spray,ClinicalDrug
1000654,clotrimazole 10 MG/ML / dexamethasone 0.443 MG/ML Topical Cream,ClinicalDrug
1000656,clotrimazole 0.01 MG/MG Medicated Bar Soap,ClinicalDrug
1000657,clotrimazole 0.02 MG/MG Topical Gel,ClinicalDrug
1000660,Clotrimazole 10 MG/ML Topical Cream [Desenex AF Prescription Strength],BrandedDrug
1000661,clotrimazole 10 MG/ML Topical Cream [Fungoid (Clotrimazole)],BrandedDrug
1000672,clotrimazole 10 MG/ML Topical Cream [Lotrimin],BrandedDrug
1000674,clotrimazole 10 MG/ML Topical Solution [Fungoid Solution],BrandedDrug
1000675,clotrimazole 10 MG/ML Topical Solution [Lotrimin],BrandedDrug
1000676,clotrimazole 10 MG/ML Topical Solution [Mycelex],BrandedDrug
1000677,clotrimazole 100 MG Vaginal Insert [Femcare],BrandedDrug
1000678,Clotrimazole 100 MG Vaginal Insert [Gyne-Lotrimin],BrandedDrug
1000679,clotrimazole 100 MG Vaginal Insert [Mycelex-7],BrandedDrug
1000680,clotrimazole 10 MG/ML Topical Lotion [Lotrimin],BrandedDrug
1000681,Clotrimazole 200 MG Vaginal Insert [Gyne-Lotrimin Inserts],BrandedDrug
1000692,clotrimazole 0.01 MG/MG Topical Powder [Lotrimin],BrandedDrug
1000693,clotrimazole 10 MG/ML Vaginal Cream [Clotrimazole-7],BrandedDrug
1000694,clotrimazole 10 MG/ML Vaginal Cream [Femcare],BrandedDrug
1000695,Clotrimazole 10 MG/ML Vaginal Cream [Gyne-Lotrimin],BrandedDrug
1000696,clotrimazole 10 MG/ML Vaginal Cream [Mycelex-7],BrandedDrug
1000697,betamethasone 0.5 MG/ML / clotrimazole 10 MG/ML Topical Lotion [Lotrisone],BrandedDrug
1000718,clotrimazole 0.01 MG/MG,ClinicalDrugComp
1000719,clotrimazole 0.02 MG/MG,ClinicalDrugComp
1000720,clotrimazole 3.3 MG/ML,ClinicalDrugComp
1000732,clotrimazole 100 MG/ML,ClinicalDrugComp
1000733,clotrimazole 10 MG Oral Tablet,ClinicalDrug
1000734,clotrimazole 10 MG/ML Topical Spray,ClinicalDrug
1000736,betamethasone 1 MG/ML / clotrimazole 10 MG/ML Topical Lotion,ClinicalDrug
1000737,Clotrimazole 20 MG/ML Vaginal Cream [Clotrimazole-3],BrandedDrug
1000738,Clotrimazole 20 MG/ML Vaginal Cream [Gyne-Lotrimin],BrandedDrug
1000740,Clotrimazole 10 MG/ML Topical Spray [FungiCURE],BrandedDrug
1000775,granisetron 2 MG Oral Tablet [Kytril],BrandedDrug
1000979,guar gum,Ingredient
1000995,coal tar,Ingredient
1000999,coal tar 0.08 MG/MG / salicylic acid 0.02 MG/MG Topical Gel,ClinicalDrug
1001000,coal tar 10 MG/ML Topical Lotion,ClinicalDrug
1001055,"coal tar 0.02 MG/MG / salicylic acid 0.015 MG/MG / sulfur, colloidal 0.011 MG/MG Topical Ointment [MG 217]",BrandedDrug
1001056,coal tar 10 MG/ML Medicated Shampoo [Betatar Gel],BrandedDrug
1001057,coal tar 10 MG/ML Medicated Shampoo [Doctar],BrandedDrug
1001058,Coal Tar 10 MG/ML Medicated Shampoo [Neutrogena T/Gel Extra Strength],BrandedDrug
1001059,coal tar 10 MG/ML Medicated Shampoo [Zetar],BrandedDrug
1001072,Coal Tar 0.05 MG/MG Topical Gel [Estar],BrandedDrug
1001074,coal tar 50 MG/ML Topical Lotion [Oxipor VHC],BrandedDrug
1001076,coal tar 20 MG/ML Topical Oil [Doak Tar Oil],BrandedDrug
1001077,Coal Tar 50 MG/ML Topical Oil [Neutrogena T/Derm],BrandedDrug
1001078,coal tar 43 MG/ML Medicated Shampoo [Pentrax Gold],BrandedDrug
1001079,Coal Tar 50 MG/ML Topical Cream [Tegrin Medicated],BrandedDrug
1001080,coal tar 30 MG/ML Medicated Shampoo [Doak Tar],BrandedDrug
1001093,Coal Tar 75 MG/ML Topical Solution [Cutar],BrandedDrug
1001097,Coal Tar 100 MG/ML / Salicylic Acid 50 MG/ML Medicated Shampoo [Tarsum],BrandedDrug
1001098,coal tar 20 MG/ML / lactic acid 50 MG/ML / salicylic acid 30 MG/ML Topical Lotion [SLT],BrandedDrug
1001122,Coal Tar 100 MG/ML Topical Lotion,ClinicalDrug
1001123,coal tar 75 MG/ML Topical Oil,ClinicalDrug
1001124,coal tar 330 MG/ML Topical Oil,ClinicalDrug
1001125,coal tar 16 MG/ML Topical Cream,ClinicalDrug
1001126,Coal Tar 50 MG/ML Topical Cream,ClinicalDrug
1001127,coal tar 0.025 MG/MG Topical Gel,ClinicalDrug
1001129,allantoin 17 MG/ML / coal tar 50 MG/ML Topical Cream,ClinicalDrug
1001130,allantoin 17 MG/ML / coal tar 50 MG/ML Topical Lotion,ClinicalDrug
1001131,Coal Tar 100 MG/ML / Salicylic Acid 40 MG/ML Medicated Shampoo,ClinicalDrug
1001152,coal tar 50 MG/ML / salicylic acid 30 MG/ML Topical Cream,ClinicalDrug
1001153,coal tar 0.016 MG/MG / salicylic acid 0.02 MG/MG Topical Gel,ClinicalDrug
1001157,coal tar 25 MG/ML Topical Solution,ClinicalDrug
1001158,coal tar 75 MG/ML Topical Solution,ClinicalDrug
1001159,coal tar 255 MG/ML Topical Oil,ClinicalDrug
1001160,coal tar 0.015 MG/MG Topical Gel,ClinicalDrug
1001161,coal tar 0.02 MG/MG Topical Gel,ClinicalDrug
1001172,coal tar 0.1 MG/MG Topical Gel,ClinicalDrug
1001173,coal tar 0.05 MG/MG Topical Ointment,ClinicalDrug
1001174,allantoin 20 MG/ML / coal tar 50 MG/ML Topical Cream,ClinicalDrug
1001175,allantoin 20 MG/ML / coal tar 50 MG/ML Topical Lotion,ClinicalDrug
1001177,coal tar 50 MG/ML / salicylic acid 20 MG/ML Medicated Shampoo,ClinicalDrug
1001178,Coal Tar 50 MG/ML / Salicylic Acid 20 MG/ML / Sulfur 20 MG/ML Medicated Shampoo,ClinicalDrug
1001179,coal tar 0.05 MG/MG Medicated Bar Soap,ClinicalDrug
1001180,coal tar 20 MG/ML / salicylic acid 20 MG/ML Medicated Shampoo,ClinicalDrug
1001193,Coal Tar 100 MG/ML / Salicylic Acid 50 MG/ML Medicated Shampoo,ClinicalDrug
1001194,coal tar 20 MG/ML Topical Lotion,ClinicalDrug
1001195,chloroxylenol 5 MG/ML / coal tar 10 MG/ML Medicated Shampoo,ClinicalDrug
1001197,coal tar 0.005 MG/MG Medicated Bar Soap,ClinicalDrug
1001199,Coal Tar 0.1 MG/MG Topical Ointment,ClinicalDrug
1001212,boric acid 30 MG/ML / coal tar 11.2 MG/ML Topical Solution,ClinicalDrug
1001213,coal tar 60 MG/ML Topical Cream,ClinicalDrug
1001217,coal tar 53 MG/ML Topical Solution,ClinicalDrug
1001218,coal tar 10 MG/ML / triamcinolone 1 MG/ML Topical Cream,ClinicalDrug
1001219,coal tar 50 MG/ML Topical Solution,ClinicalDrug
1001220,coal tar 10 MG/ML / salicylic acid 20 MG/ML Medicated Shampoo,ClinicalDrug
1001221,allantoin 20 MG/ML / coal tar 50 MG/ML Topical Solution,ClinicalDrug
1001232,coal tar 70 MG/ML Medicated Shampoo,ClinicalDrug
1001234,coal tar 15 MG/ML Topical Lotion,ClinicalDrug
1001235,Coal Tar 125 MG/ML Medicated Shampoo,ClinicalDrug
1001237,coal tar 20 MG/ML Medicated Shampoo [Theraplex T],BrandedDrug
1001274,coal tar 300 MG/ML,ClinicalDrugComp
1001276,Coal Tar 87.5 MG/ML,ClinicalDrugComp
1001277,coal tar 90 MG/ML,ClinicalDrugComp
1001278,Coal Tar 125 MG/ML,ClinicalDrugComp
1001281,coal tar 25 MG/ML,ClinicalDrugComp
1001292,coal tar 0.016 MG/MG,ClinicalDrugComp
1001293,coal tar 0.0175 MG/MG,ClinicalDrugComp
1001294,coal tar 75 MG/ML,ClinicalDrugComp
1001298,coal tar 43 MG/ML,ClinicalDrugComp
1001299,coal tar 30 MG/ML,ClinicalDrugComp
1001300,coal tar 0.002 MG/MG,ClinicalDrugComp
1001312,coal tar 70 MG/ML,ClinicalDrugComp
1001313,coal tar 255 MG/ML,ClinicalDrugComp
1001314,coal tar 53 MG/ML,ClinicalDrugComp
1001315,coal tar 0.08 MG/MG,ClinicalDrugComp
1001316,coal tar 330 MG/ML,ClinicalDrugComp
1001317,coal tar 11.2 MG/ML,ClinicalDrugComp
1001337,coal tar 60 MG/ML,ClinicalDrugComp
1001338,coal tar 150 MG/ML,ClinicalDrugComp
1001339,coal tar 5 MG/ML,ClinicalDrugComp
1001341,coal tar 15 MG/ML,ClinicalDrugComp
1001352,coal tar 16 MG/ML,ClinicalDrugComp
1001353,Coal tar extract 20 MG/ML,ClinicalDrugComp
1001355,coal tar 0.0125 MG/MG Topical Gel,ClinicalDrug
1001356,coal tar 0.015 MG/MG / flumethasone 0.0002 MG/MG / salicylic acid 0.01 MG/MG Topical Ointment,ClinicalDrug
1001357,coal tar 28 MG/ML Medicated Shampoo,ClinicalDrug
1001358,coal tar 75 MG/ML Topical Lotion,ClinicalDrug
1001359,coal tar 0.0125 MG/MG,ClinicalDrugComp
1001360,coal tar 28 MG/ML,ClinicalDrugComp
1001372,coal tar 0.002 MG/MG Medicated Bar Soap,ClinicalDrug
1001373,coal tar 1.1 MG/ML,ClinicalDrugComp
1001375,coal tar 480 MG/ML,ClinicalDrugComp
1001376,benzocaine 20 MG/ML / coal tar 480 MG/ML / salicylic acid 10 MG/ML Topical Lotion,ClinicalDrug
1001377,coal tar 5.5 MG/ML,ClinicalDrugComp
1001378,coal tar 5.5 MG/ML / resorcinol 10 MG/ML / salicylic acid 18 MG/ML Topical Cream,ClinicalDrug
1001381,coal tar 20 MG/ML Topical Foam,ClinicalDrug
1001392,coal tar 20 MG/ML Topical Foam [Scytera],BrandedDrug
1001419,cocaine,Ingredient
1001420,cocaine 135 MG Oral Tablet,ClinicalDrug
1001434,cocaine 100 MG/ML,ClinicalDrugComp
1001435,cocaine 135 MG,ClinicalDrugComp
1001436,cocaine 40 MG/ML,ClinicalDrugComp
1001476,Hemorrhoid,LoincSystem
1001477,Cover test,LoincMethod
1001535,Left ventricular Ejection fraction by US.2D.A2C+Calc by single plane area-length method,ClinicalObservation
1001620,Villous lymphocytes [Presence] in Blood by Light microscopy,LabTest
1001644,Left ventricular Cardiac output by US.2D.A4C+Calc by single plane area-length method,ClinicalObservation
1001673,Francisella tularensis IgG and IgM [Interpretation] in Serum,LabTest
1001706,Mumps virus RNA and N gene panel - Specimen,LabTest
1001822,Left ventricular Stroke volume by US.2D.A4C+Calculated by single plane method of disks,ClinicalObservation
1001855,Left ventricular End-diastolic volume by US.2D+Calculated by biplane area-length method,ClinicalObservation
1001864,Left ventricular End-diastolic volume by US.2D.A4C+Calc by single plane area-length method,ClinicalObservation
1001917,Left ventricular End-diastolic volume by US.2D.A2C+Calc by single plane area-length method,ClinicalObservation
1001918,Insulin [Moles/volume] in Serum or Plasma --post meal,LabTest
1001943,Phosphohistone H3 [Presence] in Tissue by Immune stain,LabTest
1001987,Pulmonary artery End diastolic blood pressure by Cardiac catheterization,ClinicalObservation
1002000,Left ventricular Cardiac output by US.2D.A2C+Calculated by single plane method of disks,ClinicalObservation
1002004,Left ventricular Cardiac output by US.2D.A4C+Calculated by single plane method of disks,ClinicalObservation
1002020,Left ventricular Cardiac output by US.2D+Calculated by biplane area-length method,ClinicalObservation
1002030,IgE [Units/volume] in Tear,LabTest
1002093,Haemophilus influenzae DNA [Presence] by NAA with probe detection in Positive blood culture,LabTest
1002105,Inferior vena cava Blood pressure by US,ClinicalObservation
1002121,Insulin [Units/volume] mean in Serum or Plasma,LabTest
1002168,Neisseria meningitidis DNA [Presence] by NAA with probe detection in Positive blood culture,LabTest
1002270,Left ventricular Stroke volume by US.2D.A2C+Calc by single plane area-length method,ClinicalObservation
1002273,Francisella tularensis IgG Ab [Presence] in Serum by Immunoassay,LabTest
1002274,Right ventricular outflow tract proximal Diameter by US.2D.PSAX,ClinicalObservation
1002285,Mumps virus N gene [Cycle Threshold #] in Specimen by NAA with probe detection,LabTest
1002309,Left ventricular Ejection fraction by US.2D+Calculated by biplane area-length method,ClinicalObservation
1002343,Left ventricular Stroke volume by US.2D.A4C+Calc by single plane area-length method,ClinicalObservation
1002375,Left ventricular Stroke volume by US.2D+Calculated by biplane area-length method,ClinicalObservation
1002385,Left ventricular Cardiac output by US.2D.A2C+Calc by single plane area-length method,ClinicalObservation
1002404,Left ventricular Ejection fraction by US.2D.A4C+Calc by single plane area-length method,ClinicalObservation
1002424,Francisella tularensis IgM Ab [Presence] in Serum by Immunoassay,LabTest
1002456,Left ventricular Stroke volume by US.2D.A2C+Calculated by single plane method of disks,ClinicalObservation
1002461,Diameter | Fetus | Eye | OB ultrasound,LoincHierarchy
1002464,Diameter.inner orbital | Fetus | OB ultrasound,LoincHierarchy
1002472,Intravascular systolic | Ulnar artery Right | Specific blood pressure,LoincHierarchy
1002476,Stroke volume/Body surface area | Heart ventricle - left | Specific hemodynamics,LoincHierarchy
1002477,Pus,LoincSystem
1002481,End-systolic volume | Heart.ventricle Right | Specific hemodynamics,LoincHierarchy
1002482,Body weight percentile | Fetus | OB ultrasound,LoincHierarchy
1002483,Long axis | Cervical canal | OB ultrasound,LoincHierarchy
1002491,Arterial pulse intensity | Radial artery Left | Specific heart rate,LoincHierarchy
1002492,Perimeter | Fetus | OB ultrasound,LoincHierarchy
1002493,Intravascular systolic | Thumb arteries Right | Specific blood pressure,LoincHierarchy
