concept_id,label,concept_class
1030617,Immunization,LoincComponent
1074333,First vaccination in immunization series,Procedure
1242697,Risankizumab therapy,Procedure
1448195,Anifrolumab therapy,Procedure
2008288,Vaccination against typhoid and paratyphoid fever,4DigBillingCode
2008335,Other vaccination and inoculation,3DigNonbillCode
2008336,Prophylactic vaccination against the common cold,4DigBillingCode
2008339,Prophylactic vaccination against other arthropod-borne viral diseases,4DigBillingCode
2008340,Prophylactic administration of vaccine against other diseases,4DigBillingCode
2008353,Administration of other antitoxins,4DigBillingCode
2008354,Other vaccination and inoculation,4DigBillingCode
2617410,SERVICES FOR INTRAVENOUS INFUSION OF IMMUNOGLOBULIN PRIOR TO ADMINISTRATION (THIS SERVICE IS TO BE BILLED IN CONJUNCTION WITH ADMINISTRATION OF IMMUNOGLOBULIN) (Deprecated),Hcpcs
35615187,Transfusion of immunoglobulin,Procedure
3571938,Anti-varicella-zoster immunoglobulin injection,Undefined
37019057,Injection of normal human immunoglobulin,Procedure
37153616,Injection of human anti-D immunoglobulin,Procedure
37153618,Intramuscular injection of human anti-D immunoglobulin,Procedure
37174702,Administration of SARS-CoV-2 DNA plasmid encoding spike protein vaccine,Procedure
40217128,"Administration of immune globulin, intravenously, in the home setting, including all nursing care, equipment, and supphes; per diem (Deprecated)",Hcpcs
4022152,Intravenous infusion of human immune serum globulin (IVIg),Procedure
4023916,"Administration of Cytomegalovirus immunoglobulin, human",Procedure
4023917,Intravenous infusion of Cytomegalovirus immune globulin,Procedure
4023921,"Intramuscular injection of Hepatitis B Virus immune globulin, human",Procedure
4023924,Administration of Varicella virus immune globulin,Procedure
4024247,"Administration of Hepatitis B Virus immune globulin, human",Procedure
4024657,Intramuscular injection of Varicella virus immune globulin,Procedure
40280951,"Administration of immune serum globulin, human",Procedure
4029707,Human vaccination,Procedure
40314996,Anti-rabies immunoglobulin injection,Procedure
4032793,Elective immunization for international travel,Procedure
4035231,Intramuscular injection of Rh immune globulin,Procedure
4035869,"Intramuscular injection of immune serum globulin, human",Procedure
4035878,Administration of human immune globulin product,Procedure
4036056,"Administration of Rabies immune globulin, human",Procedure
4037785,"Intramuscular injection of Rabies immune globulin, human",Procedure
4037786,"Subcutaneous injection of Rabies immune globulin, human",Procedure
4037789,Intramuscular injection of human tetanus immunoglobulin,Procedure
4037791,"Intramuscular injection of Vaccinia immune globulin, human",Procedure
40384457,Continuous infusion of immunoglobulin,Procedure
40384465,Injection of Sandoglobulin,Procedure
4047284,Vaccination for arthropod-borne virus,Procedure
40523829,[V]Other arthropod-borne viral disease vaccination,ContextDependent
40641521,Active immunization,Procedure
4080230,Injection of rRhD immune globulin,Procedure
4108715,Intramuscular immunotherapy,Procedure
4132855,Active or passive immunization,Procedure
4144375,Active immunization,Procedure
4145390,Injection of Sandoglobulin,Procedure
4154634,Anti-rabies immunoglobulin injection,Procedure
4171839,Administration of immune serum,Procedure
4199458,Passive immunization,Procedure
4210429,Continuous infusion of immunoglobulin,Procedure
4230536,Booster vaccination,Procedure
4232537,Booster immunization,Procedure
4308724,Paratyphoid fever vaccination,Procedure
44782805,Administration of immunoglobulin by intravenous route,Procedure
44786609,"Services, supplies and accessories used in the home for the administration of intravenous immune globulin (ivig)",Hcpcs
44791906,Primary immunisation - third dose,Procedure
44791907,Primary immunisation - fourth dose,Procedure
44791908,Primary immunisation - fifth dose,Procedure
44792013,Primary immunisation,Procedure
44792015,Primary immunisation - first dose,Procedure
44792016,Primary immunisation - second dose,Procedure
718785,Primary immunisation - sixth dose,Procedure
915632,Biologic immune response modifier prescribed (Deprecated),Hcpcs
