concept_id,label,concept_class
10000,"Pathological fracture in other disease, left hand",6CharNonbillCode
10001,"Pathological fracture in other disease, unspecified hand",6CharNonbillCode
10002,"Pathological fracture in other disease, pelvis",6CharNonbillCode
10003,"Pathological fracture in other disease, right femur",6CharNonbillCode
1000364,INDUSTRIOX 6011 - industriox liquid,OtcDrug
1000365,PROMETHAZINE HYDROCHLORIDE - promethazine hydrochloride solution,PrescriptionDrug
1000366,"TRAMADOL HYDROCHLORIDE - tramadol hydrochloride tablet, extended release",PrescriptionDrug
1000367,STOPAIN EXTRA STRENGTH GEL - menthol gel,OtcDrug
1000368,MSG DETOX 6999 - msg detox liquid,OtcDrug
1000369,"MEMANTINE HYDROCHLORIDE - memantine tablet, film coated",PrescriptionDrug
1000370,METAB 6012 - metab liquid,OtcDrug
1000371,VIRAL IMMUNE STIMULATOR 6017 - viral immune stimulator liquid,OtcDrug
1000372,COCONUT FOAMING HAND SANITIZER WITH NATURAL VITAMIN E AND ALMOND OIL - benzalkonium chloride liquid,OtcDrug
1000374,"BETR HEADACHE PAIN RELIEF - naproxen sodium tablet, film coated",OtcDrug
1000376,LOPERAMIDE HYDROCHLORIDE - loperamide hydrochloride capsule,PrescriptionDrug
1000379,"BREYNA - budesonide and formoterol fumarate aerosol, metered",PrescriptionDrug
1000380,TRAZODONE HYDROCHLORIDE - trazodone hydrochloride tablet,PrescriptionDrug
1000381,ORIGINAL HAND SANITIZER GEL FIG RHUBARB - isopropyl alcohol 70% v/v gel,OtcDrug
1000382,ORIGINAL HAND SANITIZER GEL LAVENDER - isopropyl alcohol 70% v/v gel,OtcDrug
1000383,ORIGINAL HAND SANITIZER SPORT PRO - isopropyl alcohol 70% v/v gel,OtcDrug
1000384,PREMIUM HAND SANITIZER GOLDEN AMBER - isopropyl alcohol 70% v/v gel,OtcDrug
1000385,ORIGINAL HAND SANITIZER GEL UNSCENTED - isopropyl alcohol 70% v/v gel,OtcDrug
1000386,PREMIUM HAND SANITIZER GEL TOBACCO LEATHER - isopropyl alcohol 70% v/v gel,OtcDrug
1000389,"CALC PHOS 6X - tribasic calcium phosphate tablet, soluble",OtcDrug
1000393,MEDI-FIRST ISOPROPYL ALCOHOL - isopropyl alcohol spray,OtcDrug
1000394,"CALC FLUOR 6X - calcium fluoride tablet, soluble",OtcDrug
1000395,"CALC SULPH 6X - calcium sulfate anhydrous tablet, soluble",OtcDrug
1000396,"HAPPY FARM BOTANICALS PROTECTIVE DAY CREAM SPF 30 - zinc oxide, titanium dioxide cream",OtcDrug
1000397,HEMRID ANORECTAL CREAM - lidocaine cream,OtcDrug
1000398,MEDI-FIRST ISOPROPYL ALCOHOL 70% - isopropyl alcohol spray,OtcDrug
1000399,"OXCARBAZEPINE - oxcarbazepine tablet, film coated",PrescriptionDrug
10004,"Pathological fracture in other disease, left femur",6CharNonbillCode
1000401,RITE AID LUBRICANT DROPS - polyethylene glycol 400 and propylene glycol gel,OtcDrug
1000402,RITE AID LUBRICANT DROPS - propylene glycol solution/ drops,OtcDrug
1000403,"IBUPROFEN - ibuprofen tablet, film coated",OtcDrug
1000404,SMITH AMISH ECZEMA/PSORIASIS - colloidal oatmeal cream,OtcDrug
1000405,SMITH AMISH ARTHRITIS - menthol cream,OtcDrug
1000406,ENALAPRIL MALEATE - enalapril maleate tablet,PrescriptionDrug
1000407,PURMIST - benzalkonium cl liquid,OtcDrug
1000408,SMITH AMISH FOOT - menthol cream,OtcDrug
1000409,OLOPATADINE HYDROCHLORIDE - olopatadine hydrochloride solution,OtcDrug
1000410,SNUGELL - sanitizing spray spray,OtcDrug
1000411,DAILY LEAVE ON ACNE TREATMENT MASK - benzoyl peroxide cream,OtcDrug
1000412,KELSEN - SPF 30 DAILY SUNSCREEN - zinc oxide lotion,OtcDrug
1000413,"OMEPRAZOLE - omeprazole capsule, delayed release",PrescriptionDrug
1000414,"FERRUM PHOS 6X - ferrosoferric phosphate tablet, soluble",OtcDrug
1000415,ACNE OIL CONTROL PRIMER - salicylic acid liquid,OtcDrug
1000416,"PROGESTERONE - progesterone injection, solution",PrescriptionDrug
1000417,COLD PLASMA PLUS NECK AND CHEST SPF25 - titanium dioxide cream,OtcDrug
1000418,"METFORMIN HYDROCHLORIDE - metformin hydrochloride tablet, extended release",PrescriptionDrug
1000419,FLUCONAZOLE - fluconazole tablet,PrescriptionDrug
1000420,BENZALKONIUM CHLORIDE - hand sanitizing wipes cloth,OtcDrug
1000421,BROAD SPECTRUM SPF30 MINERAL SUNSCREEN - zinc oxide cream,OtcDrug
1000422,LACURA MOISTURIZING HAND SANITIZER - ethyl alcohol 62% liquid,OtcDrug
1000423,"ALKA-SELTZER HEARTBURN RELIEF EXTRA STRENGTH - anhydrous citric acid, sodium bicarbonate (heat-treated) tablet, effervescent",OtcDrug
1000424,BENZALKONIUM CHLORIDE - sanitizing wipes cloth,OtcDrug
1000425,MICONAZOLE NITRATE - miconazole nitrate cream,OtcDrug
1000426,MULTI- ACTION RELIEF DROPS - polyvinyl alcohol and povidone and tetrahydrozoline hydrochloride solution/ drops,OtcDrug
