concept_id,label,concept_class
1072996,Serial plain X-ray of chest,Procedure
1072997,"Plain X-ray of chest, lateral",Procedure
1072998,"Plain X-ray of chest, oblique",Procedure
1072999,"Plain X-ray of chest, combined posteroanterior and lateral",Procedure
1073000,Plain X-ray of soft tissue of chest,Procedure
1073001,Plain X-ray of soft tissue of chest wall,Procedure
1073002,Plain X-ray of heart,Procedure
1073053,Plain X-ray of chest wall,Procedure
1073061,Postmortem plain X-ray of heart,Procedure
1074526,Plain X-ray of clavicular region,Procedure
1075103,Plain X-ray of entire clavicle,Procedure
1075106,"Plain X-ray of bone structure of rib, clavicle and sternum",Procedure
1075107,Plain X-ray of sternoclavicular joint,Procedure
1075159,Plain X-ray of diaphragm,Procedure
1075180,Plain X-ray of sternum,Procedure
1075181,Plain X-ray of thoracic cage,Procedure
1075197,Plain X-ray of bone of bilateral ribs,Procedure
1075776,Plain X-ray guided fine needle aspiration biopsy of right breast,Procedure
1075777,Plain X-ray guided fine needle aspiration biopsy and core needle biopsy of right breast,Procedure
1075953,Plain X-ray guided fine needle aspiration biopsy of left breast,Procedure
1075954,Plain X-ray guided fine needle aspiration biopsy of bilateral breasts,Procedure
1075955,Prone stereotactic plain X-ray guided fine needle aspiration biopsy of left breast,Procedure
1075956,Prone stereotactic plain X-ray guided fine needle aspiration biopsy of right breast,Procedure
1075957,Prone stereotactic plain X-ray guided fine needle aspiration biopsy of bilateral breasts,Procedure
1075958,Prone stereotactic plain X-ray guided fine needle aspiration biopsy and core needle biopsy of left breast,Procedure
1075959,Prone stereotactic plain X-ray guided fine needle aspiration biopsy and core needle biopsy of right breast,Procedure
1075960,Prone stereotactic plain X-ray guided fine needle aspiration biopsy and core needle biopsy of bilateral breasts,Procedure
1075961,Upright stereotactic plain X-ray guided fine needle aspiration biopsy and core needle biopsy of left breast,Procedure
1075962,Upright stereotactic plain X-ray guided fine needle aspiration biopsy and core needle biopsy of right breast,Procedure
1075963,Upright stereotactic plain X-ray guided fine needle aspiration biopsy and core needle biopsy of bilateral breasts,Procedure
1075964,Plain X-ray guided fine needle aspiration biopsy and core needle biopsy of left breast,Procedure
1075965,Plain X-ray guided fine needle aspiration biopsy and core needle biopsy of bilateral breasts,Procedure
1075966,Upright stereotactic plain X-ray guided fine needle aspiration biopsy of left breast,Procedure
1075967,Upright stereotactic plain X-ray guided fine needle aspiration biopsy of right breast,Procedure
1075968,Upright stereotactic plain X-ray guided fine needle aspiration biopsy of bilateral breasts,Procedure
1447926,Plain X-ray of soft tissue of breast,Procedure
1450114,Stereotactic plain X-ray guided vacuum assisted biopsy of breast,Procedure
35610523,X-ray of excised tissue of both breasts,Procedure
