concept_id,label,concept_class
1595535,Other hyperlipidemia,5CharBillingCode
35207062,Mixed hyperlipidemia,4CharBillingCode
35207064,Other hyperlipidemia,4CharNonbillCode
4029890,Familial defective apolipoprotein B-100,Disorder
4079876,Familial combined hyperlipidemia,Disorder
4104485,Familial multiple lipoprotein-type hyperlipidemia,Disorder
4345818,Tuberous xanthoma,Disorder
438720,Mixed hyperlipidemia,Disorder
44827629,Other and unspecified hyperlipidemia,4DigBillingCode
44836929,Mixed hyperlipidemia,4DigBillingCode
45561984,Other hyperlipidaemia,Icd10Code
45581383,Mixed hyperlipidaemia,Icd10Code
