code,baseline,omop_expand,umls_expand,umls_syn_omop_expand
A02.1,,Y,Y,Y
A22.7,,Y,,Y
A26.7,,Y,,Y
A32.7,,Y,,Y
A40,,Y,Y,Y
A40.0,,Y,Y,Y
A40.1,,Y,Y,Y
A40.2,,Y,Y,Y
A40.3,,Y,Y,Y
A40.8,,Y,Y,Y
A40.9,,Y,Y,Y
A41,,Y,,Y
A41.0,,Y,Y,Y
A41.01,,Y,Y,Y
A41.02,,Y,,Y
A41.1,,Y,Y,Y
A41.2,,Y,Y,Y
A41.3,,Y,Y,Y
A41.4,,Y,Y,Y
A41.5,,Y,Y,Y
A41.50,,Y,Y,Y
A41.51,,Y,,Y
A41.52,,Y,,Y
A41.53,,Y,,Y
A41.54,,Y,,Y
A41.59,,Y,,Y
A41.8,,Y,Y,Y
A41.81,,Y,,Y
A41.89,,Y,,Y
A41.9,Y,Y,Y,Y
A42.7,,Y,,Y
A48.3,,,Y,
A48.4,,Y,,Y
B34.9,,,Y,
B37.7,,Y,,Y
E74.05,,,Y,
I09.81,,,Y,
I11.0,,,Y,
I26.09,,,Y,
I27.0,,,Y,
I27.1,,,Y,
I27.20,,,Y,
I27.24,,,Y,
I27.81,,,Y,
I27.9,,,Y,
I28.0,,,Y,
I28.8,,,Y,
I42.1,,,Y,
I42.2,,,Y,
I50,,,Y,
I50.0,,,Y,
I50.1,,,Y,
I50.81,,,Y,
I50.810,,,Y,
I50.82,,,Y,
I50.84,,,Y,
I50.9,,,Y,
I51.7,,,Y,
I95,,,Y,
I95.0,,,Y,
I95.1,,,Y,
I95.2,,,Y,
I95.81,,,Y,
I95.89,,,Y,
I95.9,,,Y,
I97.11,,,Y,
O03.37,,Y,,Y
O03.87,,Y,,Y
O07.37,,Y,,Y
O85,,Y,,Y
O86.04,,Y,Y,Y
P02.70,,,Y,
P29.30,,,Y,
P36,,Y,,Y
P36.0,,Y,,Y
P36.1,,Y,,Y
P36.10,,Y,,Y
P36.19,,Y,,Y
P36.2,,Y,,Y
P36.3,,Y,,Y
P36.30,,Y,,Y
P36.39,,Y,,Y
P36.4,,Y,,Y
P36.5,,Y,,Y
P36.8,,Y,,Y
P36.9,,Y,,Y
R57,,,Y,
R57.0,,,Y,
R57.1,,,Y,
R57.9,,,Y,
R65.10,,,Y,
R65.2,,Y,Y,Y
R65.20,,Y,Y,Y
R65.21,,,Y,
R78.81,,,Y,
T78.0,,,Y,
T80.5,,,Y,
T81.12,,,Y,
T81.44,,Y,,Y
T81.44XA,,Y,,Y
T81.44XD,,Y,,Y
