code,baseline,omop_expand,umls_expand,umls_syn_omop_expand
C43.52,,,,Y
C44.501,,Y,,Y
C44.591,,Y,,Y
C50,Y,Y,Y,Y
C50-C50,Y,,,
C50.0,Y,,,Y
C50.01,Y,,,Y
C50.011,Y,,,Y
C50.012,Y,,,Y
C50.019,Y,,,Y
C50.02,Y,,,Y
C50.021,Y,,,Y
C50.022,Y,,,Y
C50.029,Y,,,Y
C50.1,Y,Y,Y,Y
C50.11,Y,Y,Y,Y
C50.111,Y,Y,,Y
C50.112,Y,Y,,Y
C50.119,Y,Y,,Y
C50.12,Y,Y,Y,Y
C50.121,Y,Y,,Y
C50.122,Y,Y,,Y
C50.129,Y,Y,,Y
C50.2,Y,Y,,Y
C50.21,Y,Y,Y,Y
C50.211,Y,Y,,Y
C50.212,Y,Y,,Y
C50.219,Y,Y,,Y
C50.22,Y,Y,,Y
C50.221,Y,Y,,Y
C50.222,Y,Y,,Y
C50.229,Y,Y,,Y
C50.3,Y,Y,,Y
C50.31,Y,Y,Y,Y
C50.311,Y,Y,,Y
C50.312,Y,Y,,Y
C50.319,Y,Y,,Y
C50.32,Y,Y,,Y
C50.321,Y,Y,,Y
C50.322,Y,Y,,Y
C50.329,Y,Y,,Y
C50.4,Y,Y,,Y
C50.41,Y,Y,Y,Y
C50.411,Y,Y,,Y
C50.412,Y,Y,,Y
C50.419,Y,Y,,Y
C50.42,Y,Y,,Y
C50.421,Y,Y,,Y
C50.422,Y,Y,,Y
C50.429,Y,Y,,Y
C50.5,Y,Y,,Y
C50.51,Y,Y,Y,Y
C50.511,Y,Y,,Y
C50.512,Y,Y,,Y
C50.519,Y,Y,,Y
C50.52,Y,Y,,Y
C50.521,Y,Y,,Y
C50.522,Y,Y,,Y
C50.529,Y,Y,,Y
C50.6,Y,Y,,Y
C50.61,Y,Y,Y,Y
C50.611,Y,Y,,Y
C50.612,Y,Y,,Y
C50.619,Y,Y,,Y
C50.62,Y,Y,,Y
C50.621,Y,Y,,Y
C50.622,Y,Y,,Y
C50.629,Y,Y,,Y
C50.8,Y,,,Y
C50.81,Y,,,Y
C50.811,Y,,,Y
C50.812,Y,,,Y
C50.819,Y,,,Y
C50.82,Y,,,Y
C50.821,Y,,,Y
C50.822,Y,,,Y
C50.829,Y,,,Y
C50.9,Y,Y,Y,Y
C50.91,Y,Y,,Y
C50.911,Y,Y,,Y
C50.912,Y,Y,,Y
C50.919,Y,Y,,Y
C50.92,Y,Y,,Y
C50.921,Y,Y,,Y
C50.922,Y,Y,,Y
C50.929,Y,Y,,Y
C50.A,Y,Y,Y,Y
C50.A0,Y,Y,,Y
C50.A1,Y,Y,,Y
C50.A2,Y,Y,,Y
C84.7A,,,,Y
D05,,,Y,
D05.0,,,Y,
D05.1,,,Y,
D05.9,,,Y,
