code,baseline,omop_expand,umls_expand,umls_syn_omop_expand
E10,,Y,,Y
E10.0,,Y,,Y
E10.1,,Y,,Y
E10.10,,Y,,Y
E10.11,,Y,,Y
E10.2,,Y,,Y
E10.21,,Y,,Y
E10.22,,Y,,Y
E10.29,,Y,,Y
E10.3,,Y,,Y
E10.31,,Y,,Y
E10.319,,Y,,Y
E10.32,,Y,,Y
E10.329,,Y,,Y
E10.3291,,Y,,Y
E10.3292,,Y,,Y
E10.3293,,Y,,Y
E10.3299,,Y,,Y
E10.33,,Y,,Y
E10.339,,Y,,Y
E10.3391,,Y,,Y
E10.3392,,Y,,Y
E10.3393,,Y,,Y
E10.3399,,Y,,Y
E10.35,,Y,,Y
E10.355,,Y,,Y
E10.3551,,Y,,Y
E10.3552,,Y,,Y
E10.3553,,Y,,Y
E10.3559,,Y,,Y
E10.359,,Y,,Y
E10.3591,,Y,,Y
E10.3592,,Y,,Y
E10.3593,,Y,,Y
E10.3599,,Y,,Y
E10.36,,Y,,Y
E10.39,,Y,,Y
E10.4,,Y,,Y
E10.40,,Y,,Y
E10.41,,Y,,Y
E10.42,,Y,,Y
E10.43,,Y,,Y
E10.44,,Y,,Y
E10.49,,Y,,Y
E10.5,,Y,,Y
E10.51,,Y,,Y
E10.52,,Y,,Y
E10.59,,Y,,Y
E10.6,,Y,,Y
E10.610,,Y,,Y
E10.62,,Y,,Y
E10.620,,Y,,Y
E10.621,,Y,,Y
E10.622,,Y,,Y
E10.628,,Y,,Y
E10.63,,Y,,Y
E10.630,,Y,,Y
E10.638,,Y,,Y
E10.64,,Y,,Y
E10.641,,Y,,Y
E10.649,,Y,,Y
E10.65,,Y,,Y
E10.69,,Y,,Y
E10.7,,Y,,Y
E10.8,,Y,,Y
E10.9,Y,Y,Y,Y
E10.A,,Y,,Y
E10.A0,,Y,,Y
E10.A1,,Y,,Y
E10.A2,,Y,,Y
O24.0,,Y,,Y
O24.01,,Y,,Y
O24.011,,Y,,Y
O24.012,,Y,,Y
O24.013,,Y,,Y
O24.019,,Y,,Y
O24.03,,Y,,Y
