code,baseline,omop_expand,umls_expand,umls_syn_omop_expand
E11,Y,Y,Y,Y
E11.0,Y,Y,Y,Y
E11.00,Y,Y,,Y
E11.01,Y,Y,,Y
E11.1,Y,Y,Y,Y
E11.10,Y,Y,,Y
E11.11,Y,Y,,Y
E11.2,Y,Y,,Y
E11.21,Y,Y,,Y
E11.22,Y,Y,,Y
E11.29,Y,Y,,Y
E11.3,Y,Y,,Y
E11.31,Y,Y,,Y
E11.311,Y,Y,,Y
E11.319,Y,Y,,Y
E11.32,Y,Y,,Y
E11.321,Y,,,
E11.3211,Y,,,
E11.3212,Y,,,
E11.3213,Y,,,
E11.3219,Y,,,
E11.329,Y,Y,,Y
E11.3291,Y,Y,,Y
E11.3292,Y,Y,,Y
E11.3293,Y,Y,,Y
E11.3299,Y,Y,,Y
E11.33,Y,Y,,Y
E11.331,Y,,,
E11.3311,Y,,,
E11.3312,Y,,,
E11.3313,Y,,,
E11.3319,Y,,,
E11.339,Y,Y,,Y
E11.3391,Y,Y,,Y
E11.3392,Y,Y,,Y
E11.3393,Y,Y,,Y
E11.3399,Y,Y,,Y
E11.34,Y,,,
E11.341,Y,,,
E11.3411,Y,,,
E11.3412,Y,,,
E11.3413,Y,,,
E11.3419,Y,,,
E11.349,Y,,,
E11.3491,Y,,,
E11.3492,Y,,,
E11.3493,Y,,,
E11.3499,Y,,,
E11.35,Y,Y,,Y
E11.351,Y,,,
E11.3511,Y,,,
E11.3512,Y,,,
E11.3513,Y,,,
E11.3519,Y,,,
E11.352,Y,,,
E11.3521,Y,,,
E11.3522,Y,,,
E11.3523,Y,,,
E11.3529,Y,,,
E11.353,Y,,,
E11.3531,Y,,,
E11.3532,Y,,,
E11.3533,Y,,,
E11.3539,Y,,,
E11.354,Y,,,
E11.3541,Y,,,
E11.3542,Y,,,
E11.3543,Y,,,
E11.3549,Y,,,
E11.355,Y,Y,,Y
E11.3551,Y,Y,,Y
E11.3552,Y,Y,,Y
E11.3553,Y,Y,,Y
E11.3559,Y,Y,,Y
E11.359,Y,Y,,Y
E11.3591,Y,Y,,Y
E11.3592,Y,Y,,Y
E11.3593,Y,Y,,Y
E11.3599,Y,Y,,Y
E11.36,Y,Y,,Y
E11.37,Y,Y,,Y
E11.37X1,Y,Y,,Y
E11.37X2,Y,Y,,Y
E11.37X3,Y,Y,,Y
E11.37X9,Y,Y,,Y
E11.39,Y,Y,,Y
E11.4,Y,Y,,Y
E11.40,Y,Y,,Y
E11.41,Y,Y,,Y
E11.42,Y,Y,,Y
E11.43,Y,Y,,Y
E11.44,Y,Y,,Y
E11.49,Y,Y,,Y
E11.5,Y,Y,Y,Y
E11.51,Y,Y,,Y
E11.52,Y,Y,,Y
E11.59,Y,Y,,Y
E11.6,Y,Y,Y,Y
E11.61,Y,Y,,Y
E11.610,Y,Y,,Y
E11.618,Y,Y,,Y
E11.62,Y,Y,,Y
E11.620,Y,Y,,Y
E11.621,Y,Y,,Y
E11.622,Y,Y,,Y
E11.628,Y,Y,,Y
E11.63,Y,Y,,Y
E11.630,Y,Y,,Y
E11.638,Y,Y,,Y
E11.64,Y,Y,,Y
E11.640,Y,,,
E11.641,Y,Y,,Y
E11.649,Y,Y,,Y
E11.65,Y,Y,,Y
E11.69,Y,Y,Y,Y
E11.7,Y,Y,,Y
E11.8,Y,Y,Y,Y
E11.9,Y,Y,Y,Y
E11.A,Y,Y,,Y
E12,,,Y,
E12.0,,,Y,
E12.1,,,Y,
E12.2,,,Y,
E12.3,,,Y,
E12.4,,,Y,
E12.5,,,Y,
E12.6,,,Y,
E12.7,,,Y,
E12.9,,,Y,
E13.9,,,Y,
E14.9,,,Y,
O24.1,,Y,,Y
O24.11,,Y,,Y
O24.111,,Y,,Y
O24.112,,Y,,Y
O24.113,,Y,,Y
O24.119,,Y,,Y
O24.13,,Y,,Y
