code,baseline,omop_expand,umls_expand,umls_syn_omop_expand
A81.0,,,Y,
A81.00,,,Y,
A81.01,,,Y,
A81.09,,,Y,
B22.0,,,Y,
F00,,Y,,Y
F00.0,,Y,,Y
F00.1,,Y,Y,Y
F00.2,,Y,Y,Y
F00.9,,Y,,Y
F01,,,Y,
F01.0,,,Y,
F01.1,,,Y,
F01.2,,,Y,
F01.50,,,Y,
F01.9,,,Y,
F01.A,,,Y,
F01.A0,,,Y,
F01.A2,,,Y,
F01.A3,,,Y,
F01.A4,,,Y,
F01.B,,,Y,
F01.B0,,,Y,
F01.B2,,,Y,
F01.B3,,,Y,
F01.B4,,,Y,
F01.C,,,Y,
F01.C0,,,Y,
F01.C2,,,Y,
F01.C3,,,Y,
F01.C4,,,Y,
F02.0,,,Y,
F02.1,,,Y,
F02.4,,,Y,
F03,,,Y,
F18.17,,,Y,
F18.27,,,Y,
G30,,Y,Y,Y
G30.0,,Y,Y,Y
G30.1,,Y,Y,Y
G30.8,,Y,,Y
G30.9,Y,Y,Y,Y
G31.01,,,Y,
G31.09,,,Y,
G31.83,,,Y,
