code,baseline,omop_expand,umls_expand,umls_syn_omop_expand
E88.41,,Y,,Y
F01.0,,,,Y
F01.1,,Y,,Y
F01.3,,,,Y
G43.6,,,,Y
G43.60,,,,Y
G43.601,,,,Y
G43.609,,,,Y
G43.61,,,,Y
G43.611,,,,Y
G43.619,,,,Y
G45.0,,,Y,
G45.3,,,Y,
G45.4,,,Y,
G45.9,,,Y,
G46.0,,Y,,Y
G46.1,,Y,,Y
G46.2,,Y,,Y
G46.3,,Y,Y,Y
G46.4,,Y,,Y
G46.5,,,Y,Y
G46.6,,,Y,Y
G46.7,,,Y,Y
H53.12,,,Y,
I60,,,Y,
I60.0,,,Y,
I60.1,,,Y,
I60.2,,,Y,
I60.3,,,Y,
I60.4,,,Y,
I60.5,,,Y,
I60.6,,,Y,
I60.7,,,Y,
I60.8,,,Y,
I60.9,,,Y,
I61,,,Y,
I61.0,,,Y,
I61.1,,,Y,
I61.2,,,Y,
I61.3,,,Y,
I61.4,,,Y,
I61.5,,,Y,
I61.6,,,Y,
I61.8,,,Y,
I61.9,,,Y,
I62,,,Y,
I62.0,,,Y,
I62.01,,,Y,
I62.1,,,Y,
I62.9,,,Y,
I63,,,Y,Y
I63.0,,,Y,Y
I63.00,,,,Y
I63.01,,,,Y
I63.011,,,,Y
I63.012,,,,Y
I63.013,,,,Y
I63.019,,,,Y
I63.02,,,,Y
I63.03,,,,Y
I63.031,,,,Y
I63.032,,,,Y
I63.033,,,,Y
I63.039,,,,Y
I63.09,,,,Y
I63.1,,,Y,Y
I63.10,,,,Y
I63.11,,,,Y
I63.111,,,,Y
I63.112,,,,Y
I63.113,,,,Y
I63.119,,,,Y
I63.12,,,,Y
I63.13,,,,Y
I63.131,,,,Y
I63.132,,,,Y
I63.133,,,,Y
I63.139,,,,Y
I63.19,,,,Y
I63.2,,,Y,Y
I63.20,,,,Y
I63.21,,,,Y
I63.211,,,,Y
I63.212,,,,Y
I63.213,,,,Y
I63.219,,,,Y
I63.22,,,,Y
I63.23,,,,Y
I63.231,,,,Y
I63.232,,,,Y
I63.233,,,,Y
I63.239,,,,Y
I63.29,,,Y,Y
I63.3,,,Y,Y
I63.30,,,,Y
I63.31,,,,Y
I63.311,,,,Y
I63.312,,,,Y
I63.313,,,,Y
I63.319,,,,Y
I63.32,,,,Y
I63.321,,,,Y
I63.322,,,,Y
I63.323,,,,Y
I63.329,,,,Y
I63.33,,,,Y
I63.331,,,,Y
I63.332,,,,Y
I63.333,,,,Y
I63.339,,,,Y
I63.34,,,,Y
I63.341,,,,Y
I63.342,,,,Y
I63.343,,,,Y
I63.349,,,,Y
I63.39,,,,Y
I63.4,,,Y,Y
I63.40,,,,Y
I63.41,,,,Y
I63.411,,,,Y
I63.412,,,,Y
I63.413,,,,Y
I63.419,,,,Y
I63.42,,,,Y
I63.421,,,,Y
I63.422,,,,Y
I63.423,,,,Y
I63.429,,,,Y
I63.43,,,,Y
I63.431,,,,Y
I63.432,,,,Y
I63.433,,,,Y
I63.439,,,,Y
I63.44,,,,Y
I63.441,,,,Y
I63.442,,,,Y
I63.443,,,,Y
I63.449,,,,Y
I63.49,,,,Y
I63.5,,,Y,Y
I63.50,,,,Y
I63.51,,,,Y
I63.511,,,,Y
I63.512,,,,Y
I63.513,,,,Y
I63.519,,,,Y
I63.52,,,,Y
I63.521,,,,Y
I63.522,,,,Y
I63.523,,,,Y
I63.529,,,,Y
I63.53,,,,Y
I63.531,,,,Y
I63.532,,,,Y
I63.533,,,,Y
I63.539,,,,Y
I63.54,,,,Y
I63.541,,,,Y
I63.542,,,,Y
I63.543,,,,Y
I63.549,,,,Y
I63.59,,,,Y
I63.6,,,Y,Y
I63.8,,,Y,Y
I63.81,,,,Y
I63.89,,,Y,Y
I63.9,,,Y,Y
I64,Y,Y,Y,Y
I97.81,,Y,Y,Y
I97.810,,Y,,Y
I97.811,,Y,,Y
I97.82,,Y,Y,Y
I97.820,,Y,,Y
I97.821,,Y,,Y
M47.02,,,Y,
M47.021,,,Y,
M47.022,,,Y,
M47.029,,,Y,
P91.82,,Y,,Y
P91.821,,Y,,Y
P91.822,,Y,,Y
P91.823,,Y,,Y
P91.829,,Y,,Y
S06.4,,,Y,
S06.4X,,,Y,
S06.4XA,,,Y,
S06.5XA,,,Y,
S06.6,,,Y,
S06.6X,,,Y,
S06.6XA,,,Y,
