code,baseline,omop_expand,umls_expand,umls_syn_omop_expand
J99.0,,,Y,
M05,,Y,Y,Y
M05.0,,,Y,
M05.00,,,Y,
M05.01,,Y,Y,Y
M05.011,,Y,Y,Y
M05.012,,Y,Y,Y
M05.019,,Y,,Y
M05.02,,Y,Y,Y
M05.021,,Y,Y,Y
M05.022,,Y,Y,Y
M05.029,,Y,Y,Y
M05.03,,Y,Y,Y
M05.031,,Y,Y,Y
M05.032,,Y,Y,Y
M05.039,,Y,,Y
M05.04,,Y,Y,Y
M05.041,,Y,Y,Y
M05.042,,Y,Y,Y
M05.049,,Y,Y,Y
M05.05,,Y,Y,Y
M05.051,,Y,Y,Y
M05.052,,Y,Y,Y
M05.059,,Y,Y,Y
M05.06,,Y,Y,Y
M05.061,,Y,Y,Y
M05.062,,Y,Y,Y
M05.069,,Y,Y,Y
M05.07,,Y,Y,Y
M05.071,,Y,Y,Y
M05.072,,Y,Y,Y
M05.079,,Y,,Y
M05.09,,,Y,
M05.1,,Y,Y,Y
M05.10,,Y,,Y
M05.11,,Y,Y,Y
M05.111,,Y,,Y
M05.112,,Y,,Y
M05.119,,Y,,Y
M05.12,,Y,Y,Y
M05.121,,Y,,Y
M05.122,,Y,,Y
M05.129,,Y,,Y
M05.13,,Y,Y,Y
M05.131,,Y,,Y
M05.132,,Y,,Y
M05.139,,Y,,Y
M05.14,,Y,Y,Y
M05.141,,Y,,Y
M05.142,,Y,,Y
M05.149,,Y,,Y
M05.15,,,Y,
M05.151,,Y,,Y
M05.152,,Y,,Y
M05.159,,Y,Y,Y
M05.16,,Y,Y,Y
M05.161,,Y,,Y
M05.162,,Y,,Y
M05.169,,Y,,Y
M05.17,,Y,Y,Y
M05.171,,Y,,Y
M05.172,,Y,,Y
M05.179,,Y,,Y
M05.19,,Y,Y,Y
M05.2,,Y,Y,Y
M05.20,,Y,Y,Y
M05.21,,Y,Y,Y
M05.211,,Y,,Y
M05.212,,Y,,Y
M05.219,,Y,Y,Y
M05.22,,Y,Y,Y
M05.221,,Y,,Y
M05.222,,Y,,Y
M05.229,,Y,,Y
M05.23,,Y,Y,Y
M05.231,,Y,,Y
M05.232,,Y,,Y
M05.239,,Y,,Y
M05.24,,Y,Y,Y
M05.241,,Y,,Y
M05.242,,Y,,Y
M05.249,,Y,Y,Y
M05.25,,Y,Y,Y
M05.251,,Y,,Y
M05.252,,Y,,Y
M05.259,,Y,,Y
M05.26,,Y,Y,Y
M05.261,,Y,,Y
M05.262,,Y,,Y
M05.269,,Y,,Y
M05.27,,Y,,Y
M05.271,,Y,,Y
M05.272,,Y,,Y
M05.279,,Y,,Y
M05.28,,Y,,Y
M05.29,,Y,Y,Y
M05.3,,Y,Y,Y
M05.30,,Y,,Y
M05.31,,Y,,Y
M05.311,,Y,,Y
M05.312,,Y,,Y
M05.319,,Y,,Y
M05.32,,Y,,Y
M05.321,,Y,,Y
M05.322,,Y,,Y
M05.329,,Y,,Y
M05.33,,Y,,Y
M05.331,,Y,,Y
M05.332,,Y,,Y
M05.339,,Y,,Y
M05.34,,Y,,Y
M05.341,,Y,,Y
M05.342,,Y,,Y
M05.349,,Y,,Y
M05.35,,Y,,Y
M05.351,,Y,,Y
M05.352,,Y,,Y
M05.359,,Y,,Y
M05.36,,Y,,Y
M05.361,,Y,,Y
M05.362,,Y,,Y
M05.369,,Y,,Y
M05.37,,Y,,Y
M05.371,,Y,,Y
M05.372,,Y,,Y
M05.379,,Y,,Y
M05.38,,Y,,Y
M05.39,,Y,,Y
M05.41,,Y,,Y
M05.411,,Y,,Y
M05.412,,Y,,Y
M05.419,,Y,,Y
M05.42,,Y,,Y
M05.421,,Y,,Y
M05.422,,Y,,Y
M05.429,,Y,,Y
M05.43,,Y,,Y
M05.431,,Y,,Y
M05.432,,Y,,Y
