CUI1,AUI1,STYPE1,REL,CUI2,AUI2,STYPE2,RELA,RUI,SRUI,SAB,SL,RG,DIR,SUPPRESS,CVF
C0011603,A0404436,AUI,RN,C0013595,A0408437,AUI,,R04601615,,WHO,WHO,,,N,
C0011603,A0915550,CODE,RN,C0011603,A4387759,CODE,mapped_to,R42357527,,ICPC2ICD10ENG,ICPC2ICD10ENG,,,N,
C0011603,A0915550,CODE,RN,C0013595,A4386692,CODE,mapped_to,R42357529,,ICPC2ICD10ENG,ICPC2ICD10ENG,,,N,
C0011603,A0915550,CODE,RN,C0013595,A4404820,CODE,mapped_to,R42357528,,ICPC2ICD10ENG,ICPC2ICD10ENG,,,N,
C0011603,A0915550,CODE,RN,C0013595,A4409967,CODE,mapped_to,R42357530,,ICPC2ICD10ENG,ICPC2ICD10ENG,,,N,
C0011603,A1305533,AUI,RN,C0013595,A0478288,AUI,,R00910389,,CSP,CSP,,,N,
C0011603,A1394167,AUI,RN,C0013595,A0478286,AUI,,R00721119,,AOD,AOD,,,N,
C0011603,A24234589,SCUI,RN,C0011603,A23010063,SCUI,was_a,R142585498,17a54689-e07e-5c00-870a-205c5a32ce0a,SNOMEDCT_US,SNOMEDCT_US,,Y,O,
C0011603,A7559852,AUI,RN,C0013595,A7559940,AUI,,R40074113,,PSY,PSY,,,N,
C0011849,A0404573,AUI,RN,C0020456,A0419319,AUI,,R04601620,,WHO,WHO,,,N,
C0011849,A0596282,AUI,RN,C0011849,A0477660,AUI,,R00710907,,AOD,AOD,,,N,
C0013595,A2881018,SCUI,RN,C0011603,A23010063,SCUI,was_a,R153707239,f16c2ab4-f965-5886-bfe3-ba28a3bbd24b,SNOMEDCT_US,SNOMEDCT_US,,Y,N,
C0013595,A2881018,SCUI,RN,C0013595,A22891907,SCUI,was_a,R141786258,5b8e6b93-1609-5380-ade1-f932c89b63cf,SNOMEDCT_US,SNOMEDCT_US,,Y,N,
C0020456,A0962677,CODE,RN,C0020456,A4386785,CODE,mapped_to,R42384778,,ICPC2ICD10ENG,ICPC2ICD10ENG,,,N,
C0020456,A0962677,CODE,RN,C0020456,A4390826,CODE,mapped_to,R42384776,,ICPC2ICD10ENG,ICPC2ICD10ENG,,,N,
C0020456,A0962677,CODE,RN,C0020456,A4390884,CODE,mapped_to,R42384775,,ICPC2ICD10ENG,ICPC2ICD10ENG,,,N,
C0020456,A0962677,CODE,RN,C0020456,A4421276,CODE,mapped_to,R42384777,,ICPC2ICD10ENG,ICPC2ICD10ENG,,,N,
C0020456,A0962677,CODE,RN,C0020456,A4458820,CODE,mapped_to,R42384779,,ICPC2ICD10ENG,ICPC2ICD10ENG,,,N,
C0020523,A0481576,AUI,RN,C0013595,A0478288,AUI,,R00905986,,CSP,CSP,,,N,
C0030842,A0098689,SCUI,RN,C0030842,A26623035,SCUI,,R32105425,,MSH,MSH,,,N,
C0030842,A13046050,SCUI,RN,C0030842,A28769125,SCUI,,R176087915,,MSHCZE,MSHCZE,,,N,
C0030842,A7460686,SCUI,RN,C0030842,A15902869,SCUI,,R86009873,,MSHFRE,MSHFRE,,,N,
C0030842,A7502972,SCUI,RN,C0030842,A13466401,SCUI,,R86488886,,MSHGER,MSHGER,,,N,
C0031006,,CUI,RN,C0003392,,CUI,,R13392965,,MTH,MTH,,,N,
C0430456,A32295630,SCUI,RN,C1623258,A0053305,SCUI,,R200561772,,MSH,MSH,,,N,
C0430456,A33251796,SCUI,RN,C1623258,A9214337,SCUI,,R206123913,,MSHSPA,MSHSPA,,,N,
C0430456,A33255282,SCUI,RN,C1623258,A9109589,SCUI,,R206122435,,MSHPOR,MSHPOR,,,N,
C0430456,A33943131,SCUI,RN,C1623258,A13057951,SCUI,,R207725662,,MSHCZE,MSHCZE,,,N,
C0729074,,CUI,RN,C0030842,,CUI,,R193208316,,MTH,MTH,,,N,
